Romance,Thriller,Sci-Fi,Film-Noir,IMAX,Drama,Comedy,Animation,Mystery,Adventure,Fantasy,Musical,Western,Horror,Action,(no genres listed),Crime,Children,Documentary,War,ratings,arating,movie name
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755,2.265,Friday (1995)
0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0.701818182,2.105454545,From Dusk Till Dawn (1996)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.34,0.102,Fair Game (1995)
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.642857143,1.928571429,Kicking and Screaming (1995)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.692307692,2.076923077,"Misérables, Les (1995)"
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,2.4,Bed of Roses (1996)
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.44,0.132,Big Bully (1996)
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.68,2.04,Screamers (1995)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8,2.4,Nico Icon (1995)
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.666666667,2,"Crossing Guard, The (1995)"
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.552941176,1.658823529,"Juror, The (1996)"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8,2.4,"White Balloon, The (Badkonake sefid) (1995)"
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.621428571,1.864285714,Things to Do in Denver When You're Dead (1995)
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.775,2.325,Antonia's Line (Antonia) (1995)
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.8,Once Upon a Time... When We Were Colored (1995)
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771428571,2.314285714,Angels and Insects (1995)
0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.793333333,2.38,White Squall (1996)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.15,Dunston Checks In (1996)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.63125,1.89375,Black Sheep (1996)
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.65,1.95,Nick of Time (1995)
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.525,1.575,Mary Reilly (1996)
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.566666667,1.7,Vampire in Brooklyn (1995)
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.79,2.37,Beautiful Girls (1996)
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.604761905,1.814285714,Broken Arrow (1996)
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,2.1,In the Bleak Midwinter (1995)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.78,2.34,"Hate (Haine, La) (1995)"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,Heidi Fleiss: Hollywood Madam (1995)
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.557142857,1.671428571,City Hall (1996)
1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0.756521739,2.269565217,Bottle Rocket (1996)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0.144,Mr. Wrong (1996)
0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.6,1.8,Unforgettable (1996)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.687878788,2.063636364,Happy Gilmore (1996)
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.656521739,1.969565217,"Bridges of Madison County, The (1995)"
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,2.4,Nobody Loves Me (Keiner liebt mich) (1994)
0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0.665384615,1.996153846,Muppet Treasure Island (1996)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8,2.4,Catwalk (1996)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.806329114,2.418987342,Braveheart (1995)
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.821153846,2.463461538,Taxi Driver (1976)
0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0.708695652,2.126086957,Rumble in the Bronx (Hont faan kui) (1995)
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.666666667,2,Before and After (1996)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.78,2.34,Anne Frank Remembered (1995)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.6,1.8,"Young Poisoner's Handbook, The (1995)"
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.15,If Lucy Fell (1996)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.8,"Steal Big, Steal Little (1995)"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8,2.4,"Boys of St. Vincent, The (1992)"
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.53125,1.59375,Boomerang (1992)
1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.875,2.625,Chungking Express (Chung Hing sam lam) (1994)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.716666667,2.15,Flirting With Disaster (1996)
0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.4,0.12,"NeverEnding Story III, The (1994)"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6,1.8,Jupiter's Wife (1994)
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.12,Pie in the Sky (1996)
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566666667,1.7,Jade (1995)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.590322581,1.770967742,Down Periscope (1996)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6,1.8,Man of the Year (1995)
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,2.1,Up Close and Personal (1996)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.698837209,2.096511628,"Birdcage, The (1996)"
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,2,"Brothers McMullen, The (1995)"
0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0.649019608,1.947058824,Bad Boys (1995)
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.666666667,2,"Amazing Panda Adventure, The (1995)"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.693333333,2.08,"Basketball Diaries, The (1995)"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,"Awfully Big Adventure, An (1995)"
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.4,0.12,Amateur (1994)
0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.769154229,2.307462687,Apollo 13 (1995)
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.709090909,2.127272727,Rob Roy (1995)
0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.09,"Addiction, The (1995)"
0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0.583211679,1.749635036,Batman Forever (1995)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.775,2.325,Beauty of the Day (Belle de jour) (1967)
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0.483333333,0.145,Beyond Rangoon (1995)
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666667,2,Blue in the Face (1995)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.572727273,1.718181818,Canadian Bacon (1995)
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.561290323,1.683870968,Casper (1995)
0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.578571429,1.735714286,Clockers (1995)
0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0.575438596,1.726315789,Congo (1995)
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.727184466,2.181553398,Crimson Tide (1995)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.841176471,2.523529412,Crumb (1994)
1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0.712121212,2.136363636,Desperado (1995)
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.664285714,1.992857143,Devil in a Blue Dress (1995)
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.711111111,2.133333333,Die Hard: With a Vengeance (1995)
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0.566666667,1.7,"Doom Generation, The (1995)"
1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.616666667,1.85,First Knight (1995)
0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.48,0.144,Free Willy 2: The Adventure Home (1995)
0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.645714286,1.937142857,Hackers (1995)
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.766666667,2.3,Jeffrey (1995)
0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.535849057,1.60754717,Johnny Mnemonic (1995)
0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.533870968,1.601612903,Judge Dredd (1995)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,1.62,Jury Duty (1995)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.795,2.385,Kids (1995)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.861538462,2.584615385,Living in Oblivion (1995)
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.55,1.65,Lord of Illusions (1995)
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.06,Love & Human Remains (1993)
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.09,Mad Love (1995)
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.680555556,2.041666667,Mallrats (1995)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0.452941176,0.135882353,Mighty Morphin Power Rangers: The Movie (1995)
0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0.7,2.1,Mute Witness (1994)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,2.1,Nadja (1994)
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0.608035714,1.824107143,"Net, The (1995)"
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.564583333,1.69375,Nine Months (1995)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.825,2.475,Party Girl (1995)
0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0.691666667,2.075,"Prophecy, The (1995)"
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6,1.8,Reckless (1995)
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.56,1.68,Safe (1995)
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.483333333,0.145,"Scarlet Letter, The (1995)"
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.494285714,0.148285714,Showgirls (1995)
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.733333333,2.2,Smoke (1995)
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,1.86,Something to Talk About (1995)
0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.533333333,1.6,Species (1995)
0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0.65,1.95,Strange Days (1995)
1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.825,2.475,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)"
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.6,1.8,Three Wishes (1995)
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.8,Total Eclipse (1995)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.686363636,2.059090909,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.543333333,1.63,Under Siege 2: Dark Territory (1995)
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633333333,1.9,Unstrung Heroes (1995)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6,1.8,Unzipped (1995)
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685714286,2.057142857,"Walk in the Clouds, A (1995)"
0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.582608696,1.747826087,Waterworld (1995)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.633333333,1.9,White Man's Burden (1995)
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.6,1.8,Wild Bill (1995)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,2.1,"Browning Version, The (1994)"
0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0.6,1.8,Bushwhacked (1995)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.766666667,2.3,Burnt by the Sun (Utomlyonnye solntsem) (1994)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.8,2.4,Before the Rain (Pred dozhdot) (1994)
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.808333333,2.425,Before Sunrise (1995)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.665306122,1.995918367,Billy Madison (1995)
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466666667,0.14,"Babysitter, The (1995)"
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685714286,2.057142857,Boys on the Side (1995)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1.8,"Cure, The (1995)"
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.6,1.8,Castle Freak (1995)
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,2.25,Circle of Friends (1995)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.771153846,2.313461538,Clerks (1994)
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7225,2.1675,Don Juan DeMarco (1995)
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707692308,2.123076923,Disclosure (1994)
0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.572727273,1.718181818,Drop Zone (1994)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.466666667,0.14,Destiny Turns on the Radio (1995)
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685714286,2.057142857,Death and the Maiden (1994)
0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.679166667,2.0375,Dolores Claiborne (1995)
0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.612030075,1.836090226,Dumb & Dumber (Dumb and Dumber) (1994)
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.778571429,2.335714286,Eat Drink Man Woman (Yin shi nan nu) (1994)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,2.1,Exotica (1994)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.517647059,1.552941176,Exit to Eden (1994)
0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.735714286,2.207142857,Ed Wood (1994)
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0.695555556,2.086666667,French Kiss (1995)
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.668181818,2.004545455,Forget Paris (1995)
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.8,2.4,Far From Home: The Adventures of Yellow Dog (1995)
1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0.6,1.8,"Goofy Movie, A (1995)"
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.475,0.1425,Hideaway (1995)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.8,2.4,Fluke (1995)
0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.72,2.16,Farinelli: il castrato (1994)
0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0.6,1.8,Gordy (1995)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.85862069,2.575862069,Hoop Dreams (1994)
0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.785714286,2.357142857,Heavenly Creatures (1994)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.635294118,1.905882353,Houseguest (1994)
1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.744444444,2.233333333,Immortal Beloved (1994)
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0.15,Heavyweights (Heavy Weights) (1995)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.6,1.8,"Hunted, The (1995)"
